Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Channel,Priority,Cost Price,Sale Price,Discount Amount,Finance Amount,Credit Score,Cost of Repairs,Total Sales per Employee,PC Market Price,Purchase Date,Ship Date
Africa,Kenya,Bungoma,LJ Computers,5,HP,Probook,HDD,16GB,500GB,Arthur,Jennings,645-184-0318,jakemorris@example.net,Kenneth Moore,Returns,Bank Transfer,Online,High,16775,21560,467,0,561,0,329,17555,2023-11-20,2023-12-07
Africa,Nigeria,Jigawa,Mini Tech,8,Microsoft,Surface Neo,SSD,4GB,1TB,Thomas,Wood,553.461.1758,davidjones@example.net,Randy Dillon,Repairs,Cash,Online,Low,17871,21988,524,0,527,4496,610,18354,2023-08-23,2023-09-01
Africa,South Africa,Limpopo,DEF Machines,10,Samsung,Notebook 9,HDD,2GB,1TB,Aaron,Young,179.340.0787,jessica14@example.org,Jonathan Huang,Second-hand Sales,Cash,Online,High,13631,17745,235,0,478,0,426,15131,2021-12-24,2022-01-17
Africa,Tanzania,Kilimanjaro,LJ Computers,6,Apple,Apple Mac Pro,HDD,2GB,1TB,Kristen,Martin,377-197-9836x94589,drobinson@example.org,Mary Fisher,Repairs,Finance,Offline,Low,5556,8643,783,49549,491,2969,593,6084,2022-05-21,N/A
North America,California,San Jose,XYZ Tech,9,MSI,GL65 Leopard,SSD,16GB,256GB,Betty,Robinson,(172)089-7048x1173,fischerjenna@example.org,Joy Holt,Returns,Cash,Online,Low,16238,20028,298,0,526,0,206,18111,2023-03-29,2023-04-08
North America,Illinois,Bolingbrook,ABC Computers,4,Acer,Swift 3,HDD,2GB,256GB,Donald,Rhodes,388-279-2409x8026,uhoward@example.org,Ashley Jones,Returns,Bank Transfer,Offline,High,22704,25743,820,0,607,0,360,25240,2021-06-20,N/A
Africa,Botswana,Kweneng,KyaSand Tech Gadgets,7,Dell,Latitude,SSD,4GB,500GB,Debra,Edwards,001-262-771-3252,corteztara@example.org,Karen Hale,Second-hand Sales,Cash,Offline,High,8018,12309,22,0,544,0,431,12138,2022-07-08,N/A
Africa,Nigeria,Nasarawa,GH PC Shop,5,HP,Spectre,SSD,16GB,256GB,Kerry,Miller,322-246-4369x368,jeffreykim@example.net,Diana Waters,New Sales,Finance,Online,Low,4578,6664,393,27103,628,0,97,5787,2021-09-10,2021-09-26
North America,New York,Long Beach,Jacks Hardware,3,HP,Chromebook,HDD,4GB,1TB,Nicholas,Lee,+1-745-155-4285x405,davidwilson@example.com,Alan Newman,Repairs,Finance,Offline,High,25223,29908,70,28927,496,4683,648,29755,2022-04-11,N/A
Africa,Nigeria,Akwa Ibom,GH PC Shop,5,Lenovo,ThinkPad X1 Yoga,HDD,8GB,500GB,Greg,Rosales,(633)721-9619x3777,mosleyemily@example.com,Brian Gonzales,Returns,Cash,Online,Medium,26727,29942,264,0,735,0,631,28878,2023-08-21,2023-09-14
Africa,Tanzania,Shinyanga,Jacks Hardware,1,Lenovo,IdeaPad 5,SSD,4GB,1TB,Thomas,Carter,+1-595-688-4669x4585,jrodriguez@example.net,Aaron Taylor,New Sales,Cash,Offline,Low,27743,30951,26,0,669,0,994,30188,2021-09-29,N/A
North America,New York,Albany,A & A PCs,4,Lenovo,ThinkPad X1 Yoga,SSD,4GB,1TB,Tiffany,Ford,(429)951-2792x760,powellsusan@example.net,Alan Newman,Repairs,Bank Transfer,Online,High,20972,24948,318,0,590,1874,399,22960,2023-06-16,2023-06-17
Africa,Egypt,Ismailia,Greens Laptops and PCs,5,Dell,Vostro,HDD,8GB,1TB,Leroy,Roberts,001-240-352-7212x4152,christopher20@example.net,Michael Gibson,Second-hand Sales,Cash,Offline,Low,15454,20024,851,0,795,0,131,19215,2022-07-10,N/A
Africa,Tanzania,Rukwa,KyaSand Tech Gadgets,3,Acer,Aspire E 15,SSD,2GB,256GB,Patricia,Thomas,(740)862-7152,tonyastone@example.org,Mitchell Atkins,Returns,Bank Transfer,Offline,High,28041,30417,623,0,837,0,804,28146,2022-03-11,N/A
Africa,Kenya,Murang���a,CK Tech Store,3,Microsoft,Surface Pro,SSD,8GB,500GB,William,Morrow,344.451.6478x9178,jennifer36@example.org,Christopher Santos,Returns,Cash,Online,Low,12099,15022,596,0,682,0,931,12268,2023-09-02,2023-09-13
North America,Georgia,Johns Creek,Western International PCs,1,Toshiba,Satellite,SSD,16GB,256GB,Emily,Hill,(904)114-2632x594,christopherstanton@example.net,Rebecca Brown,Returns,Cash,Online,Low,29712,33252,985,0,761,0,252,30484,2024-01-04,2024-01-26
Africa,Kenya,Nakuru,DEF Machines,3,Microsoft,Surface Studio,HDD,16GB,1TB,Andrea,Pugh,(945)785-3002,jessica39@example.net,Amy Johnson,Returns,Bank Transfer,Online,Low,29550,32632,679,0,480,0,236,31244,2022-04-25,2022-05-11
North America,Florida,Port St. Lucie,ABC Computers,10,Apple,Apple iMac,HDD,4GB,256GB,Brian,Warren,001-096-823-9519x679,justinfriedman@example.org,Richard Patterson,New Sales,Finance,Online,Low,27198,31640,498,24251,516,0,690,27587,2023-04-16,2023-04-25
Africa,Egypt,Faiyum,Frankies Hardware and Software,6,Samsung,Notebook 9 Pen,HDD,4GB,500GB,Donald,Matthews,(068)248-4604x10873,nathaniel34@example.net,Evan Scott,Returns,Cash,Online,Medium,22972,25605,364,0,656,0,739,25030,2024-02-24,2024-02-25
Africa,Ghana,Upper East,LJ Computers,7,MSI,P65 Creator,HDD,2GB,256GB,Wendy,Smith,+1-505-089-8693x302,mcintyrepaul@example.org,Jessica Morgan,New Sales,Cash,Offline,Low,13233,16765,539,0,675,0,666,16627,2022-11-05,N/A
North America,Ohio,Fairfield,Ricks Computers,4,Microsoft,Surface Go,HDD,16GB,500GB,David,James,888.928.8491,markgarcia@example.org,Eric James,Repairs,Bank Transfer,Online,Medium,13672,17672,533,0,685,3814,440,14052,2023-02-08,2023-02-23
Africa,Morocco,Larache,GH PC Shop,9,Dell,Venue,HDD,2GB,256GB,Ashley,Smith,708-224-1086x923,dsmith@example.net,Gina Day,Repairs,Finance,Online,Medium,16824,20453,807,31540,651,3813,761,16878,2021-04-14,2021-04-22
North America,Florida,Miramar,Jacks Hardware,10,Asus,VivoBook S14,HDD,8GB,500GB,Caitlyn,Underwood,001-777-214-8188x3108,nunezsara@example.com,Alexis Murray,Returns,Bank Transfer,Offline,High,17472,20962,464,0,848,0,861,19956,2023-03-15,N/A
Africa,Ethiopia,Oromia,CK Tech Store,8,Samsung,Chromebook 4,HDD,8GB,256GB,Megan,Rice,120.856.1547,torreskatherine@example.com,Rachel Guerrero,Returns,Cash,Online,Low,28063,31150,689,0,828,0,813,29559,2023-08-16,2023-09-04
North America,Ohio,Springfield,Western International PCs,7,Microsoft,Surface Duo,HDD,2GB,500GB,Lee,Simon,(588)432-4160x1570,patriciascott@example.org,Max Mccann,New Sales,Cash,Offline,Low,12408,17356,11,0,425,0,217,16818,2023-03-01,N/A
North America,Michigan,Ann Arbor,Ricks Computers,3,Toshiba,Chromebook,SSD,4GB,1TB,Lawrence,Baker,+1-520-008-3935x172,christina68@example.net,Allen Juarez,Repairs,Finance,Offline,Low,13496,17551,533,21477,489,1304,164,16446,2022-03-24,N/A
Africa,Nigeria,Plateau,DEF Machines,4,Toshiba,Libretto,SSD,16GB,1TB,Joanne,Wallace,(556)691-6593,abigail53@example.net,Randy Dillon,Returns,Cash,Offline,High,3507,8118,815,0,622,0,552,7762,2022-09-10,N/A
North America,Texas,Denton,GH PC Shop,4,Microsoft,Surface Pro,HDD,2GB,256GB,Christina,Wilkinson,+1-445-848-7904,langjacob@example.com,Lauren Morales,Returns,Finance,Offline,Medium,8436,10538,138,31021,418,0,382,8627,2022-11-11,N/A
North America,Texas,Garland,S & A Computer Place,2,Acer,Swift 3,SSD,8GB,1TB,Ralph,Howard,+1-108-021-7644x740,lauriepitts@example.org,Courtney Morgan,Repairs,Finance,Online,High,21560,25584,743,38124,411,4603,705,22502,2021-12-25,2022-01-08
Africa,Botswana,North-East,Mini Tech,9,Dell,G Series,HDD,8GB,500GB,Timothy,Jackson,897.533.2959x368,amanda51@example.net,Madison Davis,Returns,Bank Transfer,Online,Medium,29665,32596,594,0,802,0,333,31468,2023-02-27,2023-03-15
Africa,Angola,Huila,GH PC Shop,4,Asus,TUF Gaming A15,SSD,4GB,256GB,Kathleen,Young,993.219.9294x8230,caitlinmorris@example.org,Brian Clarke,New Sales,Cash,Online,Medium,14861,18572,686,0,790,0,213,16546,2021-03-16,2021-04-12
North America,Florida,West Palm Beach,Mini Tech,9,MSI,GF63 Thin,HDD,8GB,256GB,Jason,Hall,121.141.4569x662,ccole@example.net,Tanya Mcclure,Repairs,Cash,Offline,High,3751,6133,495,0,562,1602,542,5895,2023-04-12,N/A
Africa,South Africa,Western Cape,KyaSand Tech Gadgets,1,Samsung,Notebook 5,HDD,8GB,1TB,Kendra,Jones,001-585-772-8563x298,tfox@example.com,Mary Nelson,Returns,Finance,Offline,Low,18603,21479,7,8601,422,0,792,19996,2021-11-18,N/A
Africa,Tanzania,Kilimanjaro,GH PC Shop,8,Samsung,Notebook 9 Pro,SSD,4GB,1TB,Kevin,Fleming,(920)940-4715,natasha13@example.org,Corey Rasmussen,New Sales,Bank Transfer,Offline,Medium,11502,16154,25,0,847,0,965,13708,2023-07-28,N/A
North America,Michigan,Battle Creek,S & A Computer Place,7,HP,Spectre,SSD,2GB,1TB,Melissa,Gonzalez,436.029.2568,jserrano@example.com,Michael Gomez,Returns,Finance,Offline,Medium,20656,23951,183,14990,741,0,735,23672,2023-03-29,N/A
Africa,Egypt,Sharqia,GHI Machines,4,Apple,Apple MacBook Air,SSD,4GB,500GB,Lynn,Morris,(857)624-5627x7677,watkinsdeborah@example.com,Diana Owens,Returns,Cash,Online,Low,4836,9099,933,0,819,0,947,8896,2024-03-08,2024-03-12
North America,New York,Utica,Frankies Hardware and Software,2,HP,Stream,SSD,2GB,1TB,Barbara,Norris,+1-198-448-9999x25197,levyadam@example.org,Gabrielle Patterson,Returns,Cash,Online,High,4788,9298,99,0,835,0,645,6654,2022-04-26,2022-04-30
Africa,Botswana,Central,DEF Machines,5,MSI,P65 Creator,SSD,4GB,500GB,Jeffrey,Harris,295518328,victoriayoung@example.org,Lisa Williams,Second-hand Sales,Finance,Offline,Low,24888,27887,372,19364,817,0,16,26304,2021-06-27,N/A
Africa,Ethiopia,Gambela,DEF Machines,9,Lenovo,ThinkCentre M920 Tiny,HDD,2GB,1TB,Gary,Russell,(892)823-9966,feliciamcbride@example.org,Kenneth Herring,New Sales,Cash,Online,High,20283,24528,724,0,538,0,818,23625,2022-09-03,2022-09-12
North America,Texas,McKinney,Greens Laptops and PCs,4,Microsoft,Surface Hub,HDD,2GB,500GB,David,Sanchez,001-512-461-4674x346,timmills@example.net,Melanie Taylor,Second-hand Sales,Bank Transfer,Offline,High,17594,21990,834,0,681,0,474,18365,2024-01-21,N/A
North America,Texas,Midland,Benjis Tech,3,HP,Elitebook,HDD,16GB,500GB,Rachel,Cruz,(713)417-7280x0727,sarahlewis@example.com,Diana Rodriguez,Returns,Cash,Offline,Low,4373,7730,45,0,427,0,161,5929,2022-12-12,N/A
North America,Georgia,East Point,A & A PCs,2,Microsoft,Surface Duo,SSD,8GB,1TB,Daniel,Evans,(383)624-1890x94543,elizabeth10@example.com,Joe Thomas,Returns,Cash,Online,Low,27063,29520,19,0,494,0,709,27700,2021-03-31,2021-04-15
North America,Ohio,Fairfield,A & A PCs,5,Acer,ConceptD 5,HDD,8GB,500GB,Melissa,Wilson,001-818-629-0971x0955,berrythomas@example.org,Jason Gentry,Returns,Finance,Offline,Low,14178,16483,626,45127,494,0,319,15554,2021-09-18,N/A
Africa,Nigeria,Kaduna,Benjis Tech,10,Toshiba,Dynabook,SSD,8GB,256GB,Vickie,Carter,493-985-0739x7101,vwright@example.com,Pamela Morgan,Second-hand Sales,Bank Transfer,Offline,Low,8166,11203,2,0,801,0,805,8600,2024-01-10,N/A
North America,New York,Syracuse,Western International PCs,2,Toshiba,Chromebook,SSD,4GB,1TB,Timothy,Evans,001-335-832-5596,yharrington@example.net,Victoria Hodges,Repairs,Finance,Online,Low,15720,19369,82,34519,817,3035,628,19256,2021-05-19,2021-06-10
Africa,Nigeria,Kano,Ricks Computers,6,MSI,GP65 Leopard,SSD,8GB,500GB,Matthew,Lewis,(867)641-8816,ginacoleman@example.org,Mary Shaw,Second-hand Sales,Cash,Online,High,15539,20453,845,0,503,0,147,20412,2022-03-18,2022-03-25
Africa,South Africa,Eastern Cape,LJ Computers,1,Asus,ZenBook UX425,HDD,4GB,1TB,James,Thomas,939.288.8938,christinaroberts@example.net,Mrs. Barbara Davenport,Second-hand Sales,Finance,Offline,Medium,19874,23603,810,27977,777,0,936,22695,2023-07-15,N/A
Africa,Egypt,New Valley,Western International PCs,3,Lenovo,ThinkPad P15s,HDD,2GB,256GB,James,Ross,(073)420-2961,todd20@example.net,Michael Gibson,Second-hand Sales,Cash,Online,Low,18908,22540,182,0,835,0,535,20509,2023-03-15,2023-03-29
Africa,Angola,Uige,Benjis Tech,9,Lenovo,ThinkPad P15s,SSD,16GB,500GB,Angelica,Cook,001-692-988-4824x41919,patrick66@example.com,Kimberly Duncan,New Sales,Cash,Online,Low,27059,29386,82,0,640,0,699,27197,2023-09-05,2023-09-18
North America,New York,Long Island City,XYZ Tech,8,MSI,GS75 Stealth,SSD,4GB,1TB,Gina,Murillo,173.021.7374x06392,austin44@example.net,Victoria Hodges,Returns,Cash,Online,Medium,5222,9594,102,0,412,0,865,6178,2023-03-16,2023-03-19
North America,North Carolina,Cary,XYZ Tech,5,Toshiba,Dynabook,HDD,16GB,1TB,Heidi,Hanson,423-179-0199x143,ochoajason@example.net,Brady Walton,Second-hand Sales,Finance,Online,Medium,8526,12989,186,36195,456,0,602,10805,2023-09-03,2023-10-01
Africa,Ethiopia,Tigray,CK Tech Store,7,Dell,Inspiron,SSD,4GB,256GB,Brian,Lee,653.595.4849,wbarker@example.net,Alexa Hopkins,Repairs,Cash,Online,Medium,22298,24801,277,0,706,1841,290,22941,2022-05-28,2022-06-13
Africa,Botswana,South-East,LJ Computers,10,Apple,Apple Power Mac G5,HDD,4GB,256GB,Amanda,Smith,(102)002-6321x02383,osanchez@example.com,Susan Nelson,Second-hand Sales,Cash,Online,High,15585,19749,894,0,732,0,454,17367,2023-07-29,2023-08-11
Africa,Angola,Bengo,ABC Computers,2,Microsoft,Surface Duo,HDD,16GB,256GB,Jennifer,Guerrero,001-204-916-8709,martinbrandi@example.org,James Thornton,New Sales,Bank Transfer,Offline,Low,13448,16411,904,0,552,0,141,15986,2023-02-06,N/A
Africa,Morocco,Beni Mellal,ABC Computers,7,Dell,XPS,HDD,2GB,500GB,Renee,Gibson,860.291.6951x32218,jenkinslinda@example.net,Adam Schwartz,Repairs,Cash,Offline,Low,5555,7578,267,0,762,4264,885,7146,2023-09-14,N/A
Africa,Ghana,Upper West,XYZ Tech,5,Microsoft,Surface Go,HDD,4GB,1TB,Travis,Williams,+1-305-136-5359x431,nguyenamy@example.org,Kevin Lee,Repairs,Cash,Offline,High,5198,10049,204,0,625,1063,174,9419,2021-05-26,N/A
North America,Ohio,Hamilton,LJ Computers,3,Apple,Apple Power Mac G5,HDD,2GB,500GB,Kim,Farley,585.685.4099,westkenneth@example.net,Molly Johns,Returns,Cash,Offline,Low,28447,30837,589,0,801,0,755,28830,2024-02-15,N/A
North America,New York,Buffalo,GHI Machines,7,Acer,Swift 3,HDD,16GB,500GB,Sara,Ward,7900307819,paul17@example.net,Alan Newman,New Sales,Finance,Online,Medium,12548,15357,656,47036,517,0,350,15057,2021-07-12,2021-08-09
North America,Michigan,Flint,Western International PCs,6,Lenovo,IdeaPad 5,SSD,4GB,500GB,Sarah,Gomez,+1-670-051-1961x381,toddmitchell@example.net,Kevin Padilla,Returns,Finance,Online,Low,20395,22401,985,46516,426,0,508,20741,2023-08-26,2023-09-20
North America,Michigan,Novi,DEF Machines,3,HP,Probook,HDD,2GB,500GB,Justin,Santos,263.916.5185,smorgan@example.com,Kevin Padilla,Returns,Finance,Online,Low,8091,10206,122,9267,597,0,79,9535,2021-05-11,2021-05-20
North America,California,Bakersfield,Ricks Computers,10,HP,Pavilion,HDD,16GB,500GB,Dawn,Walls,001-766-173-4247x19035,ymartin@example.com,Alyssa Martinez,New Sales,Finance,Offline,High,9346,12512,750,7334,803,0,267,9671,2023-08-25,N/A
North America,Ohio,Dayton,A & A PCs,7,Lenovo,ThinkPad P15s,HDD,16GB,500GB,Gwendolyn,Edwards,(313)213-7964,gillmaria@example.com,Mr. Nathan Douglas,Second-hand Sales,Bank Transfer,Offline,High,18094,22551,972,0,811,0,293,19781,2022-09-13,N/A
Africa,Kenya,Mombasa,LJ Computers,5,MSI,GS75 Stealth,SSD,2GB,1TB,Joseph,Weaver,(844)436-9993,mccallsarah@example.org,Kenneth Moore,Returns,Finance,Online,Medium,20078,23409,491,33661,720,0,125,21844,2022-06-02,2022-07-02
Africa,Tanzania,Pemba Kaskazini,Mini Tech,4,MSI,GP65 Leopard,HDD,16GB,1TB,Garrett,Reilly,(918)638-0259,acastaneda@example.org,Corey Rasmussen,Repairs,Finance,Offline,High,14122,18327,864,18395,638,3686,539,16404,2022-10-22,N/A
North America,Georgia,Columbus,Jacks Hardware,5,Acer,Spin 5,HDD,16GB,1TB,Kevin,Moss,(905)031-5066,david90@example.com,Chris Jones,Second-hand Sales,Cash,Offline,Medium,9870,14203,235,0,839,0,396,14033,2022-01-17,N/A
North America,Texas,Houston,ABC Computers,3,Dell,G Series,HDD,2GB,256GB,April,Green,608.783.7323,dbrewer@example.com,Lori Washington,Returns,Bank Transfer,Offline,Low,4064,8142,881,0,475,0,834,7965,2021-12-19,N/A
Africa,Morocco,Driouch,Mini Tech,8,Acer,Spin 5,SSD,16GB,256GB,Michael,Blair,+1-834-957-4607x690,mariaperry@example.net,Brian Johnson,Returns,Bank Transfer,Offline,Low,28124,32858,640,0,492,0,262,29725,2023-10-22,N/A
Africa,Ghana,Upper East,DEF Machines,1,Lenovo,IdeaCentre AIO 3,SSD,16GB,256GB,Jessica,Alvarez,023-623-7026x851,froberts@example.com,Jonathan Miller,Second-hand Sales,Finance,Online,Medium,13899,16650,518,2326,663,0,192,14314,2022-01-28,2022-01-29
Africa,South Africa,Western Cape,LJ Computers,7,Lenovo,ThinkPad X1 Yoga,SSD,16GB,500GB,David,Rodriguez,001-382-395-4736x7975,burchalice@example.net,Jonathan Huang,New Sales,Bank Transfer,Online,Low,17118,21543,299,0,450,0,810,20823,2023-02-26,2023-02-28
North America,Ohio,Elyria,A & A PCs,5,Apple,Apple Mac Mini,HDD,4GB,256GB,Helen,Walter,286-791-7930x595,laura03@example.com,Mr. Nathan Douglas,Repairs,Finance,Online,Low,6845,11146,534,13728,833,1041,933,6945,2023-06-14,2023-07-12
North America,Illinois,Naperville,LJ Computers,9,Microsoft,Surface Go,HDD,2GB,1TB,Laura,Cardenas,001-215-945-0484x5493,shaun99@example.net,Curtis Tucker,Repairs,Cash,Online,Medium,8912,12364,483,0,675,1467,227,10987,2022-02-06,2022-02-08
Africa,Morocco,Taourirt,Western International PCs,7,Asus,ROG Strix Scar III,HDD,16GB,1TB,Aaron,Conway,+1-437-891-7392x92090,karen77@example.org,Kelly Mitchell,Returns,Bank Transfer,Online,Low,9724,14572,97,0,418,0,401,11238,2023-06-15,2023-06-30
North America,North Carolina,Durham,Mini Tech,6,MSI,P65 Creator,SSD,2GB,1TB,Lisa,Henry,795-339-8821x144,schroederpamela@example.org,Calvin Rich,Second-hand Sales,Bank Transfer,Offline,Low,19441,23426,888,0,593,0,884,21449,2023-07-31,N/A
North America,New York,New Rochelle,Ricks Computers,7,Apple,Apple Macintosh Classic,SSD,4GB,1TB,Sonia,Price,+1-362-113-7172x81424,morgangriffin@example.org,Kelsey Olson,Second-hand Sales,Bank Transfer,Online,High,10833,15714,352,0,778,0,793,11334,2021-07-20,2021-08-13
North America,North Carolina,Mooresville,DEF Machines,8,MSI,GS75 Stealth,HDD,2GB,500GB,Kimberly,Bennett,(016)667-1514x057,thomaswatson@example.org,Calvin Rich,Repairs,Bank Transfer,Offline,High,12520,15659,429,0,403,1047,129,13140,2022-09-07,N/A
North America,Texas,Brownsville,KyaSand Tech Gadgets,7,HP,Probook,SSD,4GB,1TB,Heather,Poole,+1-360-099-8028x27638,debra11@example.com,Michael Koch,Returns,Finance,Online,Low,8900,12858,840,9058,801,0,111,11288,2022-11-02,2022-11-14
Africa,Egypt,Dakahlia,KyaSand Tech Gadgets,5,Dell,Vostro,HDD,2GB,500GB,Cindy,Reynolds,596-272-0949x1327,justinwoods@example.net,Evan Scott,Repairs,Cash,Online,High,19037,23366,457,0,604,4523,551,20691,2023-06-28,2023-07-11
North America,California,Riverside,Western International PCs,4,Microsoft,Surface Pro,SSD,16GB,256GB,Thomas,Hancock,229.581.9137x45197,kaiseraaron@example.org,Amber Montgomery,Second-hand Sales,Bank Transfer,Online,Low,13752,18231,923,0,661,0,702,15107,2021-04-19,2021-05-14
Africa,Tanzania,Mwanza,S & A Computer Place,5,Dell,Alienware,HDD,4GB,1TB,Natalie,Erickson,001-147-167-4691x3100,maria46@example.org,Alicia Evans,New Sales,Cash,Online,Low,13690,16514,652,0,818,0,229,13942,2023-10-24,2023-11-03
Africa,Botswana,Kgalagadi,GHI Machines,7,Lenovo,Legion 5,SSD,2GB,256GB,Helen,Young,678138568,mccarthyamanda@example.com,Heather Singleton,New Sales,Bank Transfer,Online,Medium,22667,27109,637,0,483,0,827,24359,2023-05-16,2023-05-27
Africa,Ghana,Northern,Benjis Tech,2,HP,Chromebook,HDD,8GB,500GB,Henry,Sullivan,133.993.0223x341,steeleelizabeth@example.net,Jessica Morgan,Second-hand Sales,Finance,Online,Medium,25922,30616,282,38897,487,0,858,28520,2023-02-08,2023-03-08
Africa,Kenya,Homa Bay,Greens Laptops and PCs,6,Toshiba,Libretto,SSD,2GB,1TB,Mark,Thomas,(916)459-4659,robertsonrenee@example.net,Jeffrey Cook,Returns,Bank Transfer,Online,High,6365,9624,316,0,658,0,845,6496,2023-12-30,2024-01-08
North America,Texas,Frisco,GH PC Shop,9,Microsoft,Surface Laptop,SSD,8GB,500GB,Randall,Robinson,(055)295-0058x10376,thomas67@example.org,Ashley Wright,Repairs,Cash,Offline,Low,14536,19436,438,0,573,3294,230,17204,2021-04-03,N/A
Africa,Kenya,Kirinyaga,S & A Computer Place,4,Acer,Aspire 5,SSD,4GB,256GB,Adam,Bautista,522-908-3652x272,bridgesjames@example.com,David Ellis,New Sales,Finance,Online,High,11944,15006,509,4995,835,0,96,13137,2022-11-17,2022-12-06
Africa,Tanzania,Iringa,Frankies Hardware and Software,3,Microsoft,Surface Hub,HDD,4GB,500GB,Brian,Walsh,8662590327,cleblanc@example.net,Tara Price,Repairs,Bank Transfer,Offline,Medium,28040,31941,669,0,492,2080,568,31369,2022-12-31,N/A
Africa,Kenya,Migori,LJ Computers,7,Lenovo,ThinkPad X1 Yoga,HDD,4GB,500GB,John,Clark,(659)697-1562x011,markvance@example.com,Jason Robinson,New Sales,Bank Transfer,Offline,Medium,5555,8801,690,0,760,0,32,5881,2023-05-01,N/A
Africa,South Africa,North West,Jacks Hardware,1,Dell,OptiPlex,HDD,16GB,256GB,Jennifer,Deleon,(637)364-6738,erictrujillo@example.net,Pamela Zavala,Returns,Bank Transfer,Online,Low,14086,17065,339,0,444,0,997,15985,2021-09-03,2021-09-05
Africa,Morocco,Ouezzane,Ricks Computers,7,Asus,VivoBook S14,SSD,8GB,1TB,Daniel,Carroll,278.193.7766x313,qgarcia@example.com,John Whitney,New Sales,Finance,Online,Medium,10656,12959,362,23415,469,0,306,12281,2024-01-09,2024-01-23
North America,Florida,Miramar,Benjis Tech,1,Dell,XPS,SSD,16GB,500GB,Matthew,Shaw,(940)260-0968,gjackson@example.org,Mary Kidd,Repairs,Finance,Offline,Medium,26504,31288,240,42016,471,3796,841,26869,2023-05-29,N/A
Africa,Ethiopia,Dire Dawa,DEF Machines,6,Toshiba,Libretto,HDD,8GB,1TB,Christopher,Andrews,+1-910-771-6951x274,hodgecurtis@example.com,Michael Summers,Repairs,Finance,Online,Low,10196,13465,117,296,550,1885,102,10635,2023-01-30,2023-02-06
Africa,Nigeria,Plateau,Greens Laptops and PCs,2,Samsung,Notebook Flash,HDD,16GB,1TB,Julie,Freeman,232-232-3252x39789,jennifer58@example.com,Lisa Morgan,New Sales,Bank Transfer,Offline,Medium,5271,8268,785,0,548,0,902,7393,2023-10-17,N/A
Africa,Morocco,Sefrou,Mini Tech,7,MSI,GL65 Leopard,SSD,8GB,1TB,Kelsey,Simmons,707.319.3704x16739,teresa62@example.com,Adam Schwartz,Returns,Bank Transfer,Offline,High,17716,20262,677,0,421,0,473,18885,2021-09-08,N/A
Africa,Morocco,Inezgane-Ait Melloul,Western International PCs,6,MSI,GS75 Stealth,SSD,2GB,256GB,Renee,Carter,(026)411-5901,kyle97@example.com,John Whitney,Returns,Finance,Online,Low,23490,28117,758,34536,403,0,330,25382,2023-09-09,2023-10-04
North America,Ohio,Beavercreek,ABC Computers,7,Acer,Chromebook Spin 311,SSD,4GB,256GB,Cheyenne,Holt,+1-395-876-4302x80665,ryan96@example.net,Eric James,Second-hand Sales,Bank Transfer,Online,Medium,18435,20796,863,0,443,0,480,20320,2021-12-31,2022-01-22
Africa,Kenya,Kwale,Western International PCs,4,HP,Envy,HDD,8GB,1TB,Pamela,Allen,713-467-2104x471,perryshawn@example.org,Cassandra Mcmillan,Second-hand Sales,Bank Transfer,Online,Medium,15669,18168,225,0,498,0,808,16316,2022-03-05,2022-03-12
North America,Texas,Lubbock,Ricks Computers,5,Acer,Spin 5,HDD,2GB,500GB,Maria,Carpenter,354.958.4571,ccastaneda@example.com,Lauren Morales,Repairs,Cash,Offline,High,6937,11134,99,0,438,2875,900,8566,2021-03-29,N/A
Africa,Tanzania,Mwanza,LJ Computers,5,MSI,Modern 15,HDD,8GB,256GB,Shannon,Gardner,+1-113-065-8611x7431,justin18@example.net,Alicia Evans,Repairs,Cash,Offline,Low,26132,30801,813,0,525,3631,820,28229,2022-07-01,N/A
Africa,Kenya,Mombasa,Jacks Hardware,5,Samsung,Notebook Odyssey,SSD,4GB,256GB,Richard,House,(992)636-3553,lcasey@example.org,Misty Green,Returns,Finance,Offline,Medium,7915,12509,959,21463,698,0,460,10163,2023-07-05,N/A
North America,Pennsylvania,Hazleton,Benjis Tech,9,HP,Omen,SSD,16GB,1TB,Billy,Perkins,(600)347-9009x5855,fmyers@example.org,Beth James,Second-hand Sales,Finance,Online,High,8321,10456,85,33330,403,0,860,8568,2024-01-28,2024-02-05
North America,North Carolina,Greensboro,XYZ Tech,1,Toshiba,Libretto,SSD,16GB,500GB,Elizabeth,Mejia,344-793-1032x382,ccontreras@example.net,Tony Valenzuela,Returns,Finance,Online,Medium,19396,21677,726,18227,572,0,318,20070,2021-09-18,2021-10-17
North America,Illinois,Waukegan,XYZ Tech,4,Asus,ExpertBook B9,HDD,4GB,256GB,Cameron,Velez,636-596-3326x823,tjames@example.org,Jeremy Thomas,Returns,Bank Transfer,Offline,Low,15267,19217,615,0,518,0,117,16513,2023-06-08,N/A
North America,Michigan,Dearborn,GH PC Shop,1,Acer,Predator Triton 500,SSD,16GB,1TB,Marissa,Watkins,+1-049-819-3154x96717,brooke86@example.com,Michael Gomez,Returns,Finance,Online,Low,8453,12100,827,22977,531,0,734,11535,2023-04-03,2023-04-30
